order_index "Customer coordinate" "order time" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "Actual production time 1" "Actual production time 2" "Actual production time 3" "vehicle type 1" "vehicle type 2" "vehicle type 3" "total vehicle cost 1" "total vehicle cost 2" "total vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
625 1255 19:15:27 9 7.1 2405 1209.6 11 14.77 5338 2683.77 14 11.9 5262 2642.9 3 12 14 10 3 2 1 12.0 30.0 21.0 0 0 0 1.15389 2.29908 2.4399266666666666 -0.3536895817391277 0.19668232388605356 0.4633420921564887
648 9428 19:17:20 13 1.37 457 229.87 0 12.77 3818 1921.77 7 10.23 3364 1692.23 1 6 12 12 11 1 2 6.0 12.0 12.0 0 0 0 0.4262066666666666 1.9059600000000003 1.79891 -0.9568568653470648 -0.4598049059904553 -0.24876645808302375
668 3812 19:19:47 1 7.4 2154 1084.4 11 6.52 1855 934.02 6 4.93 1620 814.93 2 8 14 9 5 2 5 9.0 14.0 8.0 0 0 0 0.9367399999999999 1.0280166666666666 1.15405 -0.9292521115345921 -0.793244497781508 -0.5898264932252837
681 2324 19:21:00 9 9.78 3200 1609.78 10 6.68 1889 951.18 12 9.3 3016 1517.3 2 12 9 13 3 12 1 9.0 26.0 12.0 0 0 0 1.0348199999999999 1.5992666666666666 1.630806666666667 -0.5689561761255344 -0.2859533132298371 -0.10699556514268624
688 2085 19:21:43 1 8.23 2483 1249.73 6 4.57 1451 730.07 11 7.22 2121 1067.72 3 8 9 14 5 5 2 9.0 21.0 8.0 0 0 0 0.9367400000000001 1.1215333333333333 1.2481966666666666 -0.8580991458196159 -0.5996791023999766 -0.5395387310964916
697 1925 19:23:03 15 4.98 1680 844.98 1 9.55 3391 1705.05 11 9.6 3309 1664.1 3 10 8 14 5 5 2 10.0 21.0 8.0 0 0 0 0.71404 1.7651033333333332 1.7310400000000001 -0.7134900839717686 -0.5716589209585967 -0.11108743266893407
700 7086 19:23:45 10 8.1 2601 1308.6 12 2.0 713 358.5 8 7.58 2607 1311.08 4 9 13 13 12 1 1 52.0 9.0 52.0 0 0 0 0.3178566666666667 1.45779 1.3460666666666667 -0.3993104717291473 -0.024616674885177603 0.23483589602097166
708 2795 19:24:15 2 10.93 3362 1691.93 13 6.38 2056 1034.38 7 5.65 1884 947.65 2 7 6 12 5 11 2 12.0 6.0 7.0 0 0 0 1.1236133333333336 1.2304166666666667 1.3669466666666668 -0.750899574435504 -0.6754887533085308 -0.44107286257995015
715 176 19:24:56 15 10.35 3528 1774.35 11 13.02 4101 2063.52 9 9.73 3022 1520.73 1 10 14 12 5 2 3 12.0 10.0 14.0 0 0 0 1.4903933333333335 1.6306666666666665 2.0428533333333334 -0.38301224529634287 -0.24368826697589854 -0.05143135634440728
722 8697 19:25:09 6 0.68 262 131.68 5 7.85 2476 1245.85 0 6.78 2112 1062.78 7 9 6 12 5 10 1 12.6 84.0 6.0 3 3 3 0.8981666666666666 5.085666666666667 4.615333333333334 -0.6340128289087903 0.975310637156047 3.3226917475811595
732 6715 19:26:41 7 7.75 2439 1227.25 3 12.25 3635 1829.75 13 11.85 3869 1946.35 1 12 13 6 2 2 11 12.0 13.0 6.0 0 0 0 1.28539 1.8344833333333335 2.10284 -0.2728906271844067 -0.2108518909201919 -0.19565989278872814
742 6545 19:27:27 13 9.37 3095 1556.87 4 7.07 2874 1444.07 0 20.8 6170 3105.8 4 6 12 12 11 3 1 16.0 6.0 48.0 0 0 0 1.5475033333333332 1.6643 2.584303333333333 -0.3505678362174258 0.024324350391984842 1.1253247101817854
784 8499 19:32:33 9 12.72 4587 2306.22 15 17.23 6231 3132.73 14 8.53 2716 1366.53 2 12 10 10 3 5 1 20.0 12.0 10.0 0 0 0 1.76726 2.13268 2.5464633333333335 -0.031012875034017715 0.11118188299981563 0.2701819070310225
804 5678 19:34:00 10 9.23 2831 1424.73 12 7.53 2257 1136.03 8 13.12 4151 2088.62 9 9 13 13 12 1 1 117.0 9.0 117.0 3 3 3 4.9063333333333325 6.290333333333334 8.0635 2.382094485488586 5.0457074862081335 5.614118430981024
830 2368 19:37:00 6 9.02 3052 1535.02 16 5.28 1763 886.78 5 5.43 1563 786.93 4 9 10 6 5 11 10 6.0 10.0 9.0 0 0 0 0.8659033333333332 1.0552300000000001 1.2233800000000001 -0.823175491107993 -0.6997578224206307 -0.5718234764435495
839 2960 19:37:52 3 3.38 1028 517.38 12 7.57 2574 1294.57 8 2.28 681 342.78 2 13 13 13 2 1 1 26.0 13.0 26.0 0 0 0 0.5676633333333333 0.5811633333333334 1.05532 -1.1554889025364965 -0.611451728838226 -0.5575805816811709
859 9397 19:39:17 6 5.02 1556 783.02 5 4.62 1449 729.12 16 7.67 2481 1248.17 3 9 6 10 5 10 11 6.0 9.0 10.0 0 0 0 0.7174633333333333 0.9429099999999999 1.1574966666666666 -0.9394551978285879 -0.695573843281452 -0.6922213098420955
861 7945 19:39:37 9 7.95 2582 1298.95 12 10.57 3414 1717.57 10 8.82 2580 1298.82 1 12 13 9 3 1 12 9.0 12.0 13.0 0 0 0 1.4284433333333335 1.3717933333333334 1.6767933333333334 -0.5884903452267615 -0.5553946257344002 0.041983365566688226
870 1066 19:40:16 6 3.92 1542 774.92 5 7.85 2764 1389.85 0 10.02 3392 1706.02 5 9 6 12 5 10 1 9.0 6.0 60.0 1 1 1 1.0007066666666664 2.2747699999999997 1.8877333333333333 -0.5736942046570537 -0.06631528408071738 0.7955820949064866
876 5331 19:41:17 3 3.15 964 485.15 12 7.33 2510 1262.33 8 2.05 617 310.55 4 13 13 13 2 1 1 52.0 26.0 52.0 0 0 0 0.5240533333333333 0.5375533333333333 1.0108766666666666 -0.8478874889038449 0.05379523264329389 0.11785837879222927
878 6224 19:41:24 10 7.28 2432 1223.28 12 1.82 581 292.32 8 6.83 2355 1184.33 5 9 13 13 12 1 1 65.0 65.0 9.0 1 1 1 0.6343266666666667 2.00419 1.8438366666666666 -0.34324655813261185 0.5428157089887736 1.074566107011868
880 6333 19:41:32 2 6.75 2038 1025.75 7 2.35 742 373.35 3 10.0 2837 1428.5 4 7 12 13 5 2 2 24.0 7.0 26.0 0 0 0 0.53329 1.2857366666666667 1.38453 -0.7512545132246262 -0.6069443103569476 -0.34617082216199346
883 431 19:41:45 13 11.78 4232 2127.78 4 7.57 3452 1733.57 17 17.82 5824 2929.82 2 6 12 10 11 3 3 12.0 6.0 10.0 0 0 0 1.44774 1.7829433333333333 2.31122 -0.22026551614633025 -0.13973598164562445 -0.05361431683501796
884 5114 19:41:45 13 10.3 3285 1652.8 4 6.78 2902 1457.78 7 19.43 6440 3239.43 1 6 12 12 11 3 2 12.0 6.0 12.0 0 0 0 1.4810033333333334 1.5730400000000002 2.626036666666667 -0.3783273668116319 -0.13859387678507887 0.17751891506150191
886 4741 19:41:52 14 5.07 1505 757.57 9 14.82 5939 2984.32 15 13.77 5020 2523.77 5 10 12 10 1 3 5 50.0 10.0 20.0 1 1 1 1.3471333333333333 3.6418799999999996 3.577453333333333 0.7090327239467971 0.7921144489274567 0.8513446948063175
887 6437 19:41:56 17 12.52 4003 2014.02 5 13.98 4513 2270.48 13 11.02 3695 1858.52 1 10 6 6 3 10 11 6.0 10.0 6.0 0 0 0 1.9546866666666665 1.9440033333333335 2.11416 -0.19573023201191628 -0.16194938472709042 0.35323304074395245
895 7702 19:42:10 2 7.97 2358 1186.97 13 7.85 2439 1227.35 0 6.23 1663 837.73 2 7 6 12 5 11 1 24.0 7.0 6.0 0 0 0 0.8672700000000001 1.4387433333333335 1.5140000000000002 -0.6323620735264865 -0.6088534460744122 -0.2991823488585154
912 2641 19:43:29 9 8.53 2800 1408.53 11 16.2 5733 2882.7 14 12.18 5336 2680.18 5 12 14 10 3 2 1 20.0 50.0 35.0 1 1 1 2.1312333333333333 3.402306666666666 3.9056766666666665 0.573219740975179 1.3714649607986542 1.6195371567334307
