order_index Customer_coordinate 1st_restaurant Duration_restaurant1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 vehicle_type_2 vehicle_type_3 total_vehicle_cost_1 total_vehicle_cost_2 total_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
45 495 1945 6 8.43 2770 1393.43 16 6.4 2015 1013.9 5 5.47 1666 838.47 1 9 10 6 5 11 10 6.0 10.0 9.0 0 0 0 0.9424133333333333 1.22323 1.38604 -0.5847031378698216 -0.40740303767094843 -0.38893738894043306
46 503 5697 4 3.98 1876 941.98 13 10.8 3604 1812.8 0 22.23 6679 3361.73 1 12 6 12 3 11 1 12.0 6.0 12.0 0 0 0 1.0529333333333333 1.6743733333333335 2.594376666666667 -0.40709540415733 -0.23641965378285734 0.14069291499766273
47 510 8760 2 13.37 3935 1980.87 7 8.0 2537 1276.5 13 11.42 3751 1886.92 2 7 12 6 5 2 11 12.0 6.0 7.0 0 0 0 1.36131 1.9110966666666669 2.2973066666666666 -0.20987385103384293 -0.19215982665973613 -0.1360251930320493
48 556 10653 15 1.83 527 265.33 11 11.45 4388 2205.45 14 9.85 3765 1892.35 3 10 14 10 5 2 1 10.0 30.0 21.0 0 0 0 0.5491066666666666 1.7315899999999997 1.9899500000000003 -0.68220417797654 -0.07428407826793276 0.14577326534604718
49 560 10158 1 10.23 3505 1762.73 11 7.85 2343 1179.35 9 7.0 2211 1112.5 1 8 14 12 5 2 3 12.0 14.0 8.0 0 0 0 1.0087066666666666 1.4092533333333332 1.5753766666666666 -0.5017692667821991 -0.4137165119153842 -0.34335899177115725
50 571 3771 14 11.73 5739 2881.23 9 12.88 4631 2328.38 10 19.58 7527 3783.08 2 10 12 9 1 3 12 12.0 20.0 9.0 0 0 0 2.11096 2.2859033333333336 2.6051866666666665 0.13167923370097812 0.289007834498644 0.31328690689842703
51 583 9680 10 6.47 2148 1080.47 12 3.98 1341 674.48 8 9.57 3174 1596.57 3 9 13 13 12 1 1 39.0 9.0 39.0 0 0 0 0.6450433333333333 1.1708066666666666 1.37181 -0.4264495343382739 0.10343325634813733 0.12641633844579236
52 613 229 10 11.55 3682 1852.55 12 5.4 1585 797.9 8 9.55 3109 1564.05 3 9 13 13 12 1 1 39.0 39.0 9.0 0 0 0 0.85179 1.6271566666666666 1.77226 -0.17208926996266963 0.23072321176142752 0.33508690061727964
53 614 1812 14 6.65 1909 961.15 9 15.83 6008 3019.83 15 15.35 5424 2727.35 2 10 12 10 1 3 5 20.0 10.0 12.0 0 0 0 1.2213700000000003 2.6753133333333334 2.5032566666666667 -0.09699340204049581 -0.0017612288119524117 0.19947868026474463
54 615 3426 6 7.22 2558 1286.22 1 7.4 2247 1130.9 11 3.55 921 464.05 4 9 8 14 5 5 2 28.0 8.0 9.0 0 0 0 0.5633833333333333 1.1910333333333334 1.2441133333333334 -0.6631794701296965 -0.5878284760669266 -0.21733367600404296
55 616 8848 7 12.98 4166 2095.98 3 8.8 3051 1534.3 8 8.07 3449 1732.57 6 12 13 13 2 2 1 39.0 78.0 36.0 1 1 1 2.453323333333333 2.47754 2.9977633333333333 0.6950895312864066 1.0357417107149516 1.6144964975473959
56 620 9416 1 6.75 2586 1299.75 15 9.43 3242 1630.43 11 4.12 1359 683.62 1 8 10 14 5 5 2 14.0 8.0 10.0 0 0 0 0.7769199999999999 1.3013533333333334 1.32578 -0.5654846984356021 -0.5508499893487359 -0.49355972215145005
57 625 1255 9 7.1 2405 1209.6 11 14.77 5338 2683.77 14 11.9 5262 2642.9 3 12 14 10 3 2 1 12.0 30.0 21.0 0 0 0 1.15389 2.29908 2.4399266666666666 -0.2785263056542647 0.16072769765289904 0.4011203554633642
58 648 9428 13 1.37 457 229.87 0 12.77 3818 1921.77 7 10.23 3364 1692.23 1 6 12 12 11 1 2 6.0 12.0 12.0 0 0 0 0.4262066666666666 1.9059600000000003 1.79891 -0.694952669704508 -0.3707173235632832 -0.22703693670713923
59 668 3812 1 7.4 2154 1084.4 11 6.52 1855 934.02 6 4.93 1620 814.93 2 8 14 9 5 2 5 9.0 14.0 8.0 0 0 0 0.9367399999999999 1.0280166666666666 1.15405 -0.7143726068848595 -0.5840291009817511 -0.45893734185315754
60 681 2324 9 9.78 3200 1609.78 10 6.68 1889 951.18 12 9.3 3016 1517.3 2 12 9 13 3 12 1 9.0 26.0 12.0 0 0 0 1.0348199999999999 1.5992666666666666 1.630806666666667 -0.44707691576513686 -0.18023383189305414 -0.01977130634639243
61 688 2085 1 8.23 2483 1249.73 6 4.57 1451 730.07 11 7.22 2121 1067.72 3 8 9 14 5 5 2 9.0 21.0 8.0 0 0 0 0.9367400000000001 1.1215333333333333 1.2481966666666666 -0.6615846974159626 -0.4687899510278505 -0.3502939331395481
62 697 1925 15 4.98 1680 844.98 1 9.55 3391 1705.05 11 9.6 3309 1664.1 3 10 8 14 5 5 2 10.0 21.0 8.0 0 0 0 0.71404 1.7651033333333332 1.7310400000000001 -0.5254507947848901 -0.4693320342463935 -0.05927779739888557
63 700 7086 10 8.1 2601 1308.6 12 2.0 713 358.5 8 7.58 2607 1311.08 4 9 13 13 12 1 1 52.0 9.0 52.0 0 0 0 0.3178566666666667 1.45779 1.3460666666666667 -0.2818736972784057 0.2650927180282748 0.41225898284548845
64 708 2795 2 10.93 3362 1691.93 13 6.38 2056 1034.38 7 5.65 1884 947.65 2 7 6 12 5 11 2 12.0 6.0 7.0 0 0 0 1.1236133333333336 1.2304166666666667 1.3669466666666668 -0.5775495194876846 -0.5094961247046618 -0.35813987085713794
65 715 176 15 10.35 3528 1774.35 11 13.02 4101 2063.52 9 9.73 3022 1520.73 1 10 14 12 5 2 3 12.0 10.0 14.0 0 0 0 1.4903933333333335 1.6306666666666665 2.0428533333333334 -0.30249349500474704 -0.2021863633214504 -0.06262287089772833
66 722 8697 6 0.68 262 131.68 5 7.85 2476 1245.85 0 6.78 2112 1062.78 7 9 6 12 5 10 1 12.6 84.0 6.0 3 3 3 0.8981666666666666 5.085666666666667 4.615333333333334 -0.493224839117381 0.5150025292124859 2.665391011129709
67 732 6715 7 7.75 2439 1227.25 3 12.25 3635 1829.75 13 11.85 3869 1946.35 1 12 13 6 2 2 11 12.0 13.0 6.0 0 0 0 1.28539 1.8344833333333335 2.10284 -0.23147339116528218 -0.17385843972835838 -0.16585950280813785
68 742 6545 13 9.37 3095 1556.87 4 7.07 2874 1444.07 0 20.8 6170 3105.8 4 6 12 12 11 3 1 16.0 6.0 48.0 0 0 0 1.5475033333333332 1.6643 2.584303333333333 -0.27723152550251823 -0.001522953881140876 1.0612067331064545
69 784 8499 9 12.72 4587 2306.22 15 17.23 6231 3132.73 14 8.53 2716 1366.53 2 12 10 10 3 5 1 20.0 12.0 10.0 0 0 0 1.76726 2.13268 2.5464633333333335 -0.057699687676768016 0.054445300858116275 0.18793979455982482
70 804 5678 10 9.23 2831 1424.73 12 7.53 2257 1136.03 8 13.12 4151 2088.62 9 9 13 13 12 1 1 117.0 9.0 117.0 3 3 3 4.9063333333333325 6.290333333333334 8.0635 1.467535705130781 4.157904199014824 4.481181359938869
71 830 2368 6 9.02 3052 1535.02 16 5.28 1763 886.78 5 5.43 1563 786.93 4 9 10 6 5 11 10 6.0 10.0 9.0 0 0 0 0.8659033333333332 1.0552300000000001 1.2233800000000001 -0.6218200908649381 -0.4963538663249454 -0.42275594490825463
72 839 2960 3 3.38 1028 517.38 12 7.57 2574 1294.57 8 2.28 681 342.78 2 13 13 13 2 1 1 26.0 13.0 26.0 0 0 0 0.5676633333333333 0.5811633333333334 1.05532 -0.8508474284431307 -0.3773131036335925 -0.331977544524539
73 859 9397 6 5.02 1556 783.02 5 4.62 1449 729.12 16 7.67 2481 1248.17 3 9 6 10 5 10 11 6.0 9.0 10.0 0 0 0 0.7174633333333333 0.9429099999999999 1.1574966666666666 -0.7120651679989 -0.508413063173091 -0.4780141415525968
74 861 7945 9 7.95 2582 1298.95 12 10.57 3414 1717.57 10 8.82 2580 1298.82 1 12 13 9 3 1 12 9.0 12.0 13.0 0 0 0 1.4284433333333335 1.3717933333333334 1.6767933333333334 -0.45268887715471373 -0.44248591897727796 0.046689700306694115
75 870 1066 6 3.92 1542 774.92 5 7.85 2764 1389.85 0 10.02 3392 1706.02 5 9 6 12 5 10 1 9.0 6.0 60.0 1 1 1 1.0007066666666664 2.2747699999999997 1.8877333333333333 -0.45922042740055546 -0.12334559046335744 0.8673430361429891
76 876 5331 3 3.15 964 485.15 12 7.33 2510 1262.33 8 2.05 617 310.55 4 13 13 13 2 1 1 52.0 26.0 52.0 0 0 0 0.5240533333333333 0.5375533333333333 1.0108766666666666 -0.5339330458330942 0.2966033556148504 0.3546527833045027
77 878 6224 10 7.28 2432 1223.28 12 1.82 581 292.32 8 6.83 2355 1184.33 5 9 13 13 12 1 1 65.0 65.0 9.0 1 1 1 0.6343266666666667 2.00419 1.8438366666666666 -0.2629227566176566 0.7513113429698743 1.0753184914318135
78 880 6333 2 6.75 2038 1025.75 7 2.35 742 373.35 3 10.0 2837 1428.5 4 7 12 13 5 2 2 24.0 7.0 26.0 0 0 0 0.53329 1.2857366666666667 1.38453 -0.5970755384576965 -0.37252025507210546 -0.176250723017108
79 883 431 13 11.78 4232 2127.78 4 7.57 3452 1733.57 17 17.82 5824 2929.82 2 6 12 10 11 3 3 12.0 6.0 10.0 0 0 0 1.44774 1.7829433333333333 2.31122 -0.1722656347528363 -0.13998163235404842 -0.06446231681928384
80 884 5114 13 10.3 3285 1652.8 4 6.78 2902 1457.78 7 19.43 6440 3239.43 1 6 12 12 11 3 2 12.0 6.0 12.0 0 0 0 1.4810033333333334 1.5730400000000002 2.626036666666667 -0.28550237118784727 -0.14737569311621523 0.1052600760614821
81 886 4741 15 13.77 5020 2523.77 9 14.82 5939 2984.32 14 5.07 1505 757.57 5 10 12 10 5 3 1 50.0 10.0 20.0 1 1 1 1.3471333333333333 3.6418799999999996 3.577453333333333 0.502366371485534 0.5342641151307663 0.7346051462742189
82 887 6437 17 12.52 4003 2014.02 5 13.98 4513 2270.48 13 11.02 3695 1858.52 1 10 6 6 3 10 11 6.0 10.0 6.0 0 0 0 1.9546866666666665 1.9440033333333335 2.11416 -0.18212491112054538 -0.13435717103214256 0.22289277007715694
83 895 7702 2 7.97 2358 1186.97 13 7.85 2439 1227.35 0 6.23 1663 837.73 2 7 6 12 5 11 1 24.0 7.0 6.0 0 0 0 0.8672700000000001 1.4387433333333335 1.5140000000000002 -0.5108578600528315 -0.464188875525121 -0.15046553662428408
84 912 2641 9 8.53 2800 1408.53 11 16.2 5733 2882.7 14 12.18 5336 2680.18 5 12 14 10 3 2 1 20.0 50.0 35.0 1 1 1 2.1312333333333333 3.402306666666666 3.9056766666666665 0.39757337991442215 1.049588568604333 1.3217200125261988
