 order_index Customer_coordinate 1st_restaurant Duration_restaurant_1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 Min _vehicle_cost_1 vehicle_type_2 Min_vehicle_cost_2 vehicle_type_3 Min_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
200 1961 1146 11 7.2 2211 1537.5 9 9.37 3279 2201.5 15 10.03 3312 2258.0 1 14 12 10 2 3 5 14.0 12.0 10.0 2 1001.39275 2 1001.9129166666668 2 1001.9211666666665 2346.0142 3009.630333333333 3065.5369333333333
201 1964 9600 12 4.1 1304 898.0 8 9.68 3198 2180.0 10 9.78 3260 2217.0 2 13 13 9 1 1 12 26.0 26.0 18.0 2 1000.8043333333335 2 1001.9288333333333 2 1001.9443333333335 1711.843466666667 2994.7430666666664 3029.955466666667
202 1971 7835 9 11.32 4007 2682.5 14 13.33 4411 3005.5 10 18.68 6518 4380.0 3 12 10 9 3 1 12 12.0 30.0 27.0 2 1002.3224166666665 2 1002.6579166666667 2 1003.1846666666668 3490.957933333333 3822.826333333333 5198.447733333333
203 1972 10207 4 10.47 5195 3225.5 7 17.23 5985 4026.5 13 16.88 6093 4059.5 1 12 12 6 3 2 11 12.0 12.0 6.0 2 1002.52025 2 1003.5064166666667 2 1003.5334166666668 4034.1162 4835.705133333334 4867.526733333333
204 1976 3163 7 9.23 2841 1974.5 13 10.95 3146 2230.0 2 14.6 4239 2995.5 2 12 6 7 2 11 5 12.0 12.0 14.0 2 1001.7870833333333 2 1002.064 2 1002.33725 2782.329666666666 3039.8512 3805.3698
205 1979 11083 7 10.6 3456 2364.0 3 13.53 4275 2949.5 13 15.72 5056 3471.0 2 12 13 6 2 2 11 12.0 13.0 12.0 2 1002.1006666666667 2 1002.64725 2 1002.8425 3172.0805333333337 3758.5178 4281.474
206 1980 3886 7 5.4 1765 1206.5 13 7.0 2301 1570.5 2 10.77 3163 2227.5 1 12 6 7 2 11 5 12.0 6.0 7.0 2 1001.07125 2 1001.3919166666667 2 1001.6074166666667 2013.757 2376.813533333333 3033.2859333333336
207 1985 8938 5 4.28 1281 897.5 6 3.7 1442 943.0 16 7.7 2511 1717.5 1 6 9 10 10 5 11 6.0 9.0 10.0 2 1000.8195833333333 2 1000.7921666666666 2 1001.0594166666666 1703.1556666666665 1749.133733333333 2525.547533333333
208 1991 3651 6 2.25 745 507.5 11 7.97 2533 1744.5 0 8.35 2595 1798.5 3 9 14 12 5 2 1 27.0 21.0 36.0 2 1000.44875 2 1001.5630833333333 2 1001.5785833333333 1322.359 2556.650466666667 2617.9628666666667
209 1993 1045 11 6.8 2055 1435.5 6 7.3 2322 1599.0 9 10.47 3466 2361.0 4 14 9 12 2 5 3 28.0 36.0 16.0 2 1001.3070833333333 2 1001.4321666666667 2 1001.7181666666667 2250.9456666666665 2419.1457333333333 3170.974533333333
210 2008 5148 15 6.28 2193 1473.5 14 9.28 3731 2422.5 9 12.45 3945 2719.5 2 10 10 12 5 1 3 20.0 20.0 24.0 2 1001.2809166666667 2 1002.0154166666667 2 1002.0689166666667 2285.5247333333336 3234.3123333333333 3533.755133333333
211 2017 4075 7 9.85 3256 2219.0 3 11.3 3618 2487.0 8 12.72 4134 2830.0 1 12 13 13 2 2 1 12.0 13.0 13.0 2 1001.9631666666667 2 1002.2228333333335 2 1002.3518333333334 3026.9705333333336 3295.678266666667 3638.581466666666
212 2023 5516 8 2.77 865 598.5 12 3.65 1245 841.5 3 5.62 1846 1260.0 4 13 13 13 1 1 2 52.0 52.0 26.0 2 1000.5394166666665 2 1000.7370833333333 2 1000.8873333333332 1425.1315333333334 1668.2896666666668 2074.1098666666667
213 2028 8776 10 11.92 3961 2695.5 12 11.82 4527 2972.5 9 14.05 4456 3071.0 4 9 13 12 12 1 3 36.0 52.0 16.0 2 1002.3809166666666 2 1002.51075 2 1002.493 3517.804733333333 3800.7086 3881.5944
214 2032 6779 13 11.38 3674 2520.0 7 11.98 3903 2670.5 4 12.6 5113 3312.5 2 6 12 12 11 2 3 12.0 12.0 24.0 2 1002.2461666666667 2 1002.3734166666666 2 1002.6759166666666 3329.9969333333333 3478.798733333333 4127.240733333333
215 2037 1613 13 5.72 1979 1332.5 7 8.03 2509 1736.5 2 9.93 3180 2186.0 2 6 12 7 11 2 5 12.0 12.0 14.0 2 1001.1620833333333 2 1001.5640833333333 2 1001.7318333333333 2141.6296666666667 2544.1512666666667 2995.385466666666
216 2044 3501 4 7.85 4408 2675.0 13 13.58 4996 3313.0 17 16.47 5582 3779.0 2 12 6 10 3 11 3 24.0 12.0 20.0 2 1002.0178333333333 2 1002.8333333333335 2 1002.9798333333333 3489.214266666667 4123.466666666666 4591.9838666666665
217 2050 997 7 5.97 1854 1285.0 13 9.38 3068 2097.0 2 11.33 3252 2306.0 3 12 6 7 2 11 5 18.0 18.0 21.0 2 1001.16 2 1001.8613333333334 2 1001.9073333333333 2095.328 2909.689066666667 3119.025866666667
218 2053 1264 11 6.0 1875 1297.5 9 7.05 2228 1537.0 1 8.38 3037 2021.5 3 14 12 8 2 3 5 21.0 12.0 24.0 2 1001.16875 2 1001.3795 2 1001.58175 2109.335 2344.7036 2835.7654
219 2073 3888 13 8.25 2687 1838.5 4 6.95 2879 1856.5 7 17.82 5832 3985.0 4 6 12 12 11 3 2 24.0 16.0 24.0 2 1001.63425 2 1001.5305833333333 2 1002.2688333333333 2654.0074 2666.3244666666665 4799.215066666667
220 2076 8162 1 1.8 592 404.0 11 6.08 1904 1317.0 16 12.37 3636 2560.0 6 8 14 10 5 2 11 9.6 42.0 60.0 2 1000.358 2 1001.1853333333332 2 1001.6183333333332 1210.0864 2139.348266666667 3393.494666666666
221 2078 6720 2 4.53 1379 961.5 7 7.95 2362 1658.0 10 8.03 2472 1718.0 5 7 12 9 5 2 12 7.0 30.0 45.0 2 1000.87325 2 1001.518 2 1001.5455 1766.6986000000004 2474.6144000000004 2544.136400000001
222 2091 9998 10 6.47 1905 1340.5 12 8.22 2739 1862.5 9 10.83 3499 2399.5 1 9 13 12 12 1 3 9.0 13.0 12.0 2 1001.2310833333332 2 1001.64375 2 1001.83375 2148.3848666666668 2670.515000000001 3207.567
223 2096 5998 7 7.37 2231 1557.5 3 8.28 2856 1925.0 8 9.7 3372 2268.0 3 12 13 13 2 2 1 18.0 19.5 39.0 2 1001.4175833333335 2 1001.68 2 1001.809 2368.034066666667 2736.494 3089.1472
224 2100 10333 10 5.37 1531 1087.5 2 7.78 2269 1601.5 12 11.57 3570 2479.0 2 9 7 13 12 5 1 18.0 14.0 26.0 2 1001.00925 2 1001.4749166666666 2 1001.8001666666668 1899.7074 2410.6799333333333 3293.6401333333333
225 2102 210 13 9.43 3192 2162.0 4 9.23 3881 2494.5 7 14.75 4980 3375.0 1 6 12 12 11 3 2 6.0 12.0 12.0 2 1001.8981666666666 2 1002.0470833333333 2 1002.3218333333333 2968.718533333333 3302.7376666666664 4183.257466666667
226 2106 622 13 6.12 2013 1373.5 4 11.35 4169 2765.5 7 14.75 4711 3240.5 5 6 12 12 11 3 2 30.0 20.0 30.0 2 1001.21725 2 1002.3664166666665 2 1002.5019166666666 2191.6738 3577.993133333333 4057.9015333333336
227 2110 121 9 9.27 3277 2194.5 10 15.6 5344 3608.0 14 13.37 5865 3734.5 2 12 9 10 3 12 1 24.0 18.0 20.0 2 1001.90075 2 1003.156 2 1003.28625 3008.6206 4421.924800000002 4547.329000000001
228 2113 9111 2 6.02 1774 1248.0 10 8.17 2390 1685.0 7 9.93 2914 2053.0 2 7 9 12 5 12 2 14.0 18.0 12.0 2 1001.1458333333333 2 1001.5506666666665 2 1001.6816666666667 2056.9166666666665 2497.640533333333 2860.7453333333333
229 2124 5483 14 5.48 1553 1105.5 15 14.18 5068 3385.0 9 15.23 5987 3907.5 3 10 10 12 1 5 3 30.0 30.0 12.0 2 1001.0275833333333 2 1002.9213333333333 2 1003.1510833333333 1921.522066666667 4203.337066666667 4716.620866666666
