order_index "Customer coordinate" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "vehicle type 1" "Min vehicle cost 1" "vehicle type 2" "Min vehicle cost 2" "vehicle type 3" "Min vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
1029 6259 12 424 2285 1566.5 6 535 2523 1796.5 1 593 3029 2107.5 1 13 9 8 1 5 5 2 1050.0379166666667 2 1063.0474166666668 2 1063.1739166666669 4722.91375 5011.54225 5322.821750000001
1032 8637 2 228 1081 768.5 6 374 1778 1263.0 7 452 2357 1630.5 2 7 9 12 5 5 2 2 1026.87025 2 1044.0778333333335 2 1044.2225833333334 3874.8107499999996 4421.1335 4774.36775
1040 4718 8 474 2813 1880.5 14 531 2822 1942.0 13 641 3982 2632.0 2 13 10 6 1 1 11 2 1056.00325 2 1062.6555 2 1062.9455 5054.80975 5135.9665 5876.4365
1058 1516 12 348 1885 1290.5 6 527 2596 1825.0 1 638 3281 2278.5 2 13 9 8 1 5 5 2 1041.07125 2 1062.1323333333332 2 1062.3035833333333 4420.01375 5037.2970000000005 5491.21075
1060 783 0 103 505 355.5 10 369 2018 1378.0 15 659 3199 2258.5 4 12 9 10 1 12 5 2 1012.1429166666667 2 1043.5545 2 1043.8497499999999 3398.12875 4569.5635 5416.04925
1077 611 15 243 1307 896.5 4 378 1997 1376.5 16 512 3077 2050.5 2 10 12 10 5 3 11 2 1028.6767499999999 2 1044.59925 2 1044.86925 4008.53025 4526.4977499999995 5241.10775
1089 2754 11 261 1446 984.0 9 396 2022 1407.0 7 608 3373 2294.5 5 14 12 12 2 3 2 2 1030.8115 2 1046.7055 2 1047.04325 4087.8345000000004 4563.3165 5446.82975
1105 4451 12 32 172 118.0 6 799 4008 2803.0 1 857 4514 3114.0 2 13 9 8 1 5 5 2 1003.7763333333334 2 1094.2186666666666 2 1094.3451666666667 3135.6290000000004 6111.5560000000005 6422.8355
1111 8438 9 344 1771 1229.5 11 471 2424 1683.0 7 642 3204 2244.0 7 12 14 12 3 2 2 3 20058.218833333332 3 20079.712 3 20080.102 61420.356499999994 61933.536 62495.505999999994
1148 10447 5 239 1484 981.0 10 417 2169 1501.5 0 620 3358 2299.0 2 6 9 12 10 12 1 2 1028.2543333333335 2 1049.19225 2 1049.4895000000001 4116.363000000001 4709.97675 5453.6685
1163 6951 11 138 801 538.5 9 461 2497 1709.5 7 485 2728 1849.0 2 14 12 12 2 3 2 2 1016.30025 2 1054.4075833333334 2 1054.4653333333333 3598.80075 4888.92275 5023.596
1175 11274 3 526 3326 2189.0 16 871 4383 3062.5 12 812 4755 3189.5 4 13 10 13 2 11 1 2 1062.1981666666668 2 1102.7124166666667 2 1102.8054166666668 5386.8945 6426.63725 6504.21625
1186 403 12 797 3977 2785.5 6 785 4429 2999.5 2 897 5059 3426.5 2 13 9 7 1 5 5 2 1093.9775833333333 2 1092.6905833333333 2 1092.8480833333333 6073.73275 6303.471750000001 6730.74425
1189 10972 9 327 1814 1234.0 11 364 2026 1377.0 7 592 3325 2254.5 1 12 14 12 3 2 2 2 1038.6035000000002 2 1042.9731666666667 2 1043.2979166666667 4366.0105 4517.3195 5395.59375
1196 6344 10 277 1413 983.5 0 413 2147 1486.5 5 405 2354 1582.0 2 9 12 6 12 1 10 2 1032.6699166666665 2 1048.7200833333334 2 1048.7718333333335 4142.409749999999 4638.86025 4778.915500000001
